elapsed_seconds,alpha,theta,beta,stillness,valid
1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9904133507822916,1
2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9905704743746472,1
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9903229403821006,1
4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9903271002640106,1
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9877234165870634,1
6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9865627275967533,1
7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9852590297270438,1
8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9844861900786953,1
9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9835036650353839,1
10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9834873872051555,1
11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9829470969755346,1
12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9829619024275582,1
13,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9836907143768806,1
14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9847441148794555,1
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.983816545690893,1
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.982988533308742,1
17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9828155581018019,1
18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9827819193781974,1
19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9820280398475234,1
20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9820649187887842,1
21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9815685671673056,1
22,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9819188534665189,1
23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.981636925820232,1
24,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.981462279076853,1
25,0.29311769144615607,0.30222493859550537,0.28520948644931254,0.9813718011260028,1
26,0.2619287178735153,0.2848182939564546,0.24821472197133376,0.9809858433685553,1
27,0.23707439478691958,0.2783893116012804,0.22785382446368715,0.9810039769901981,1
28,0.22801907013625358,0.28014745021801346,0.2151929072057753,0.9806899407383434,1
